"","time","amount","month"
"213",2017-09-01,15912,9
"214",2017-10-01,17036,10
"215",2017-11-01,17212,11
"216",2017-12-01,16566,12
"217",2018-01-01,17116,1
"218",2018-02-01,13468,2
"219",2018-03-01,16704,3
"220",2018-04-01,13676,4
"221",2018-05-01,15279,5
"222",2018-06-01,13587,6
"223",2018-07-01,14709,7
"224",2018-08-01,15150,8
"225",2018-09-01,13913,9
"226",2018-10-01,16793,10
"227",2018-11-01,16057,11
"228",2018-12-01,15149,12
"229",2019-01-01,17139,1
"230",2019-02-01,12497,2
"231",2019-03-01,14567,3
"232",2019-04-01,14285,4
"233",2019-05-01,14587,5
"234",2019-06-01,12886,6
"235",2019-07-01,15104,7
"236",2019-08-01,14330,8
"237",2019-09-01,14533,9
"238",2019-10-01,16236,10
"239",2019-11-01,14687,11
"240",2019-12-01,16916,12
"241",2020-01-01,12510,1
"242",2020-02-01,13536,2
"243",2020-03-01,14368,3
"244",2020-04-01,12864,4
"245",2020-05-01,12235,5
"246",2020-06-01,14247,6
"247",2020-07-01,12614,7
"248",2020-08-01,12787,8
"249",2020-09-01,13854,9
"250",2020-10-01,14031,10
"251",2020-11-01,14656,11
"252",2020-12-01,17547,12
"253",2021-01-01,9601,1
"254",2021-02-01,11497,2
"255",2021-03-01,13819,3
"256",2021-04-01,12264,4
"257",2021-05-01,12300,5
"258",2021-06-01,15128,6
"259",2021-07-01,11809,7
"260",2021-08-01,12588,8
"261",2021-09-01,13464,9
"262",2021-10-01,13166,10
"263",2021-11-01,14057,11
"264",2021-12-01,14127,12
"265",2022-01-01,13137,1
"266",2022-02-01,9617,2
"267",2022-03-01,12788,3
"268",2022-04-01,11222,4
"269",2022-05-01,9442,5
"270",2022-06-01,10943,6
"271",2022-07-01,10950,7
"272",2022-08-01,11902,8
"273",2022-09-01,12217,9
"274",2022-10-01,12242,10
"275",2022-11-01,12348,11
"276",2022-12-01,12178,12
"277",2023-01-01,10948,1
"278",2023-02-01,10113,2
"279",2023-03-01,12506,3
